epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,3827.82,0.46062,0.92829,0.41679,1.02682,0,0.84996,0.61725,0.71643,0.57038,0.85454,0.58019,0.68484,0.51669,0.8819,2.99192,1.23726,1.39073,0,0.00236299,0.000787665,0.00236299,0.000787665,0.00236299,0.000787665,0.00236299,0.000787665
70,3883.21,0.46538,0.90976,0.41518,1.03578,0,0.81441,0.62709,0.69104,0.54713,0.84471,0.59545,0.6697,0.50194,0.85769,2.83795,1.25106,1.35527,0,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
71,3939.41,0.45973,0.89399,0.40319,1.03225,0,0.75053,0.6997,0.69922,0.55682,0.73942,0.6939,0.68892,0.51159,0.7808,2.69306,1.24404,1.28548,0,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802,0.00230641,0.000768802
72,3994.44,0.43548,0.84914,0.38592,1.0069,0,0.8098,0.65566,0.69941,0.56069,0.77935,0.66226,0.68657,0.51221,0.79547,2.74015,1.23742,1.3022,0,0.00227811,0.000759371,0.00227811,0.000759371,0.00227811,0.000759371,0.00227811,0.000759371
73,4049.7,0.45206,0.84291,0.38361,1.02786,0,0.83769,0.647,0.71097,0.57189,0.82409,0.64245,0.70019,0.52126,0.79231,2.78463,1.22741,1.28842,0,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
74,4104.68,0.45449,0.85428,0.39065,1.02631,0,0.85383,0.61804,0.70896,0.57228,0.84641,0.61908,0.69953,0.52495,0.75731,2.74177,1.2136,1.25891,0,0.00222152,0.000740508,0.00222152,0.000740508,0.00222152,0.000740508,0.00222152,0.000740508
75,4160.12,0.4363,0.8258,0.39761,1.02642,0,0.83125,0.62068,0.6859,0.55034,0.82894,0.61624,0.67153,0.50079,0.82121,2.82404,1.26881,1.34525,0,0.00219323,0.000731076,0.00219323,0.000731076,0.00219323,0.000731076,0.00219323,0.000731076
76,4215.15,0.42643,0.83219,0.37287,1.00842,0,0.7421,0.67088,0.68786,0.55414,0.72907,0.66078,0.67173,0.50354,0.84286,2.97769,1.29139,1.34651,0,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
77,4270.5,0.41488,0.82053,0.37058,1.0048,0,0.76002,0.65304,0.68782,0.56762,0.73384,0.63948,0.66847,0.50657,0.80829,2.89865,1.32505,1.3281,0,0.00213664,0.000712214,0.00213664,0.000712214,0.00213664,0.000712214,0.00213664,0.000712214
78,4325.63,0.43196,0.85897,0.3797,1.01228,0,0.81766,0.62012,0.69656,0.56933,0.79304,0.59589,0.66624,0.50094,0.81468,3.0925,1.28381,1.2979,0,0.00210835,0.000702782,0.00210835,0.000702782,0.00210835,0.000702782,0.00210835,0.000702782
