epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,3625.52,0.45608,0.37104,1.00373,0.83147,0.61398,0.69394,0.55291,0.91387,1.96587,1.43066,0.00142929,0.000476429,0.00142929,0.000476429,0.00142929,0.000476429,0.00142929,0.000476429
103,3661.2,0.44429,0.39946,0.99435,0.7962,0.61828,0.69502,0.55258,0.95218,1.8904,1.4584,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
104,3696.38,0.45075,0.35296,1.00763,0.78763,0.62629,0.69581,0.55718,0.96404,1.86777,1.46497,0.0013727,0.000457566,0.0013727,0.000457566,0.0013727,0.000457566,0.0013727,0.000457566
105,3731.67,0.44122,0.34548,0.99557,0.87204,0.57361,0.69493,0.55174,0.98996,1.91467,1.45854,0.0013444,0.000448134,0.0013444,0.000448134,0.0013444,0.000448134,0.0013444,0.000448134
106,3766.77,0.44373,0.3553,0.99749,0.78203,0.62706,0.69643,0.55941,0.96804,1.92367,1.44687,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
107,3802.09,0.44481,0.36847,1.00292,0.78358,0.64879,0.71131,0.57583,0.94365,1.96454,1.4329,0.00128781,0.000429272,0.00128781,0.000429272,0.00128781,0.000429272,0.00128781,0.000429272
108,3837.66,0.44755,0.37055,0.99625,0.80062,0.61924,0.7087,0.57843,0.93547,2.00567,1.46134,0.00125952,0.00041984,0.00125952,0.00041984,0.00125952,0.00041984,0.00125952,0.00041984
109,3872.95,0.43454,0.33716,0.99259,0.83275,0.61424,0.69856,0.56597,0.9175,2.00976,1.4271,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
110,3908.04,0.44449,0.36819,0.99301,0.81213,0.62179,0.68748,0.54562,0.94975,2.01159,1.43395,0.00120293,0.000400977,0.00120293,0.000400977,0.00120293,0.000400977,0.00120293,0.000400977
111,3943.37,0.43409,0.3571,0.98854,0.82653,0.60938,0.68637,0.54699,0.9537,2.03163,1.43784,0.00117464,0.000391546,0.00117464,0.000391546,0.00117464,0.000391546,0.00117464,0.000391546
112,3978.52,0.42873,0.34267,0.98894,0.80861,0.61695,0.69405,0.55238,0.96279,2.09007,1.43795,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
113,4014.19,0.42989,0.38069,0.99356,0.76493,0.63666,0.69174,0.55964,0.93979,2.09971,1.44132,0.00111805,0.000372683,0.00111805,0.000372683,0.00111805,0.000372683,0.00111805,0.000372683
114,4049.31,0.4288,0.34093,0.98808,0.79592,0.62996,0.69454,0.54727,0.94632,2.08338,1.46274,0.00108976,0.000363252,0.00108976,0.000363252,0.00108976,0.000363252,0.00108976,0.000363252
115,4084.57,0.43994,0.36728,1.00207,0.79743,0.63334,0.70322,0.56547,0.93307,2.07015,1.46961,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
116,4119.7,0.43774,0.35625,0.99544,0.80777,0.63661,0.70768,0.57306,0.90842,2.05867,1.45214,0.00103317,0.000344389,0.00103317,0.000344389,0.00103317,0.000344389,0.00103317,0.000344389
117,4154.98,0.43215,0.35621,0.99414,0.7892,0.637,0.70799,0.57879,0.90607,2.03262,1.44866,0.00100487,0.000334958,0.00100487,0.000334958,0.00100487,0.000334958,0.00100487,0.000334958
118,4190.47,0.42848,0.35718,0.98328,0.83687,0.61012,0.71435,0.58523,0.91669,1.97876,1.45089,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
119,4225.87,0.4278,0.34875,0.98432,0.81492,0.63876,0.71676,0.586,0.92504,1.90896,1.44034,0.000948284,0.000316095,0.000948284,0.000316095,0.000948284,0.000316095,0.000948284,0.000316095
120,4261.07,0.43688,0.36554,1.00667,0.80383,0.63272,0.71335,0.5797,0.91657,1.90551,1.427,0.00091999,0.000306663,0.00091999,0.000306663,0.00091999,0.000306663,0.00091999,0.000306663
121,4296.38,0.41922,0.35643,0.98386,0.79918,0.62409,0.70622,0.57421,0.91805,1.97454,1.42404,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
122,4331.56,0.4263,0.34311,0.98545,0.81286,0.60725,0.69846,0.5698,0.92142,2.00185,1.42828,0.000863402,0.000287801,0.000863402,0.000287801,0.000863402,0.000287801,0.000863402,0.000287801
123,4367.29,0.41136,0.3285,0.98215,0.79944,0.61404,0.70607,0.57426,0.91984,2.0024,1.42683,0.000835108,0.000278369,0.000835108,0.000278369,0.000835108,0.000278369,0.000835108,0.000278369
124,4402.42,0.40222,0.34342,0.98688,0.81288,0.61119,0.70334,0.57463,0.91199,2.01152,1.40285,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
125,4437.73,0.40808,0.33102,0.9789,0.80499,0.62907,0.70676,0.56859,0.91351,2.01534,1.42914,0.000778519,0.000259506,0.000778519,0.000259506,0.000778519,0.000259506,0.000778519,0.000259506
